treatment,logOR,lwrCrI (2.5%),uppCrI (97.5%),n,class
amitriptyline high,1.91,-1.56,5.88,96,tca
amitriptyline standard,0.05,-1.65,1.67,114,tca
amitriptyline unable to be categorised,0,-3.72,3.59,25,tca
bupropion standard,1.02,-1.7,4.32,54,ndri
carbamazepine ,0.23,-1.9,2.38,99,nonad
citalopram standard,-0.11,-3.65,3.51,34,ssri
cognitive behavioral therapy and milnacipran standard,-0.27,-3.87,2.76,17,snri
cognitive behavioural therapy ,0.01,-2.27,2.21,87,nonad
coping skills training + sertraline high,0.11,-3.63,3.88,28,ssri
coping skills training ,0.05,-3.61,3.89,29,nonad
desipramine + cognitive behavioural therapy low,-0.28,-3.76,2.77,37,tca
desipramine low,-0.3,-3.93,2.69,38,tca
desvenlafaxine high,-0.67,-1.44,0.1,691,snri
desvenlafaxine standard,-1.17,-2.49,-0.01,199,snri
disease management ,0.47,-3.86,4.69,24,nonad
duloxetine high,-0.08,-0.55,0.4,1803,snri
duloxetine low,-0.12,-1.08,0.77,473,snri
duloxetine standard,0.15,-0.31,0.6,2507,snri
esreboxetine high,1.01,-1.61,4.39,281,snri
esreboxetine standard,0.81,-1.6,4.14,556,snri
esreboxetine unable to be categorised,0.68,-0.2,1.58,134,snri
imipramine low,-0.14,-3.8,3.52,18,tca
imipramine standard,-0.05,-3.62,3.62,51,tca
milnacipran high,0.08,-0.43,0.65,1569,snri
milnacipran standard,-0.06,-0.68,0.56,1240,snri
milnacipran unable to be categorised,-0.42,-2,1.24,203,snri
mirtazapine low,-0.01,-2.36,2.18,26,nassa
mirtazapine standard,-0.01,-1.78,1.9,243,nassa
nortriptyline + cognitive behavioural therapy unable to be categorised,-0.05,-4.31,4.24,41,tca
nortriptyline + disease management unable to be categorised,0.07,-4.4,4.37,37,tca
nortriptyline low,0.27,-1.19,1.75,137,tca
paroxetine low,-0.52,-2.75,1.45,62,ssri
paroxetine unable to be categorised,0.02,-2.44,2.47,152,ssri
pregabalin ,0.5,-0.34,1.42,643,nonad
reboxetine standard,-0.18,-5.14,5.06,18,nari
sertraline high,0.02,-3.61,3.93,30,ssri
terbutaline ,-0.03,-3.72,3.59,51,nonad
venlafaxine high,0.25,-0.84,1.4,82,snri
venlafaxine low,-0.17,-1.38,1.04,82,snri
venlafaxine standard,0.17,-3.34,3.2,86,snri
