treatment,logOR,lwrCrI (2.5%),uppCrI (97.5%),n,class
amitriptyline high,-0.02,-1.66,1.59,150,tca
amitriptyline standard,0.98,0.47,1.5,518,tca
amitriptyline unable to be categorised,0.21,-0.78,1.15,175,tca
cognitive behavioral therapy and milnacipran standard,0.62,-1.16,2.31,20,snri
coping skills training + sertraline high,0.45,-1.24,2.18,28,ssri
desipramine + cognitive behavioural therapy low,-0.69,-2.36,0.79,37,tca
desipramine low,0.02,-1.37,1.72,38,tca
desipramine standard,-0.07,-2.04,2.08,54,tca
desvenlafaxine high,0.51,-0.18,1.29,685,snri
desvenlafaxine standard,0.36,-0.64,1.3,199,snri
dothiepin standard,1.87,0.2,3.71,30,tca
duloxetine high,0.66,0.37,0.96,2088,snri
duloxetine low,0.71,0.13,1.29,594,snri
duloxetine standard,0.63,0.33,0.92,2834,snri
escitalopram high,0.32,-1.05,1.76,41,ssri
esreboxetine high,1.13,0.05,2.35,107,snri
esreboxetine standard,1.07,0.05,2.09,556,snri
esreboxetine unable to be categorised,0.66,-0.51,1.84,134,snri
imipramine high,0.68,-0.53,2.01,40,tca
imipramine low,1.38,0.31,2.55,85,tca
imipramine standard,1.08,0.18,1.97,121,tca
maprotiline low,-1.14,-2.56,0.3,33,teca
melatonin + amitriptyline standard,-1.29,-3.38,0.6,21,tca
milnacipran high,0.89,0.36,1.43,1573,snri
milnacipran standard,0.65,0.08,1.16,1256,snri
milnacipran unable to be categorised,-0.81,-2.06,0.37,105,snri
mirtazapine standard,0.53,-0.69,1.66,229,nassa
moclobemide high,0.46,-0.69,1.78,43,maoi reversible
morphine + nortriptyline low,2.28,0.44,4.4,28,tca
nortriptyline + cognitive behavioural therapy unable to be categorised,-0.45,-2.41,1.41,41,tca
nortriptyline + disease management unable to be categorised,-1.46,-3.26,0.48,37,tca
nortriptyline low,2.26,0.24,4.36,99,tca
nortriptyline standard,0.81,-0.86,2.35,28,tca
nortriptyline unable to be categorised,0.17,-2.8,2.85,61,tca
paroxetine unable to be categorised,-0.48,-1.51,0.49,186,ssri
pirlindole low,0.15,-1.24,1.56,45,maoi reversible
pregabalin + imipramine standard,1.46,0.2,2.65,69,tca
sertraline high,0.85,-0.86,2.68,30,ssri
trazodone + gabapentin low,1.79,0.28,3.3,94,sari
venlafaxine high,0.78,-0.25,1.74,122,snri
venlafaxine low,0.73,-0.08,1.68,123,snri
venlafaxine standard,0.99,-0.01,2.02,106,snri
