,mean,lwrCrI (2.5%),uppCrI (97.5%),n,class
abt-894,-0.13,-0.41,0.14,166,nonad
citalopram,-0.15,-0.61,0.33,38,ssri
cognitive behavioral therapy and milnacipran,-0.06,-0.79,0.67,17,snri
cognitive behavioural therapy,-0.18,-0.9,0.53,15,nonad
desipramine,-0.23,-0.8,0.34,27,tca
desipramine + lidocaine,0.02,-0.52,0.57,32,tca
duloxetine,-0.16,-0.22,-0.1,4837,snri
esreboxetine,-0.26,-0.57,0.05,126,snri
fluoxetine,-0.74,-1.33,-0.14,25,ssri
imipramine,-1.06,-1.66,-0.46,18,tca
lidocaine,0.17,-0.38,0.72,30,nonad
milnacipran,-0.13,-0.26,0.01,1753,snri
mirtazapine,-0.5,-0.78,-0.22,204,nassa
nortriptyline,0.64,0.15,1.13,38,tca
pregabalin,-0.09,-0.29,0.1,548,nonad
