treatment,logOR,lwrCrI (2.5%),uppCrI (97.5%),n,class
amitriptyline,0.11,-0.17,0.39,1314,tca
amitriptyline + fluoxetine,1.14,-0.28,2.52,31,tca + ssri
amitriptyline + fluphenazine,-0.16,-3.8,2.67,12,tca
amitriptyline + naproxen,-0.22,-3.56,2.46,19,tca
amitriptyline + psychotherapy,0.78,-0.83,2.46,26,tca
amitriptyline + splint,-1.49,-4.95,1.08,24,tca
amitriptyline + support,1,-0.67,2.67,26,tca
bupropion,0.72,-0.54,2.05,54,ndri
citalopram,0.35,-0.71,1.43,76,ssri
clomipramine,1.09,0.34,1.84,124,tca
cognitive behavioural therapy and milnacipran,0,-1.73,1.56,20,snri
cognitive behavioural therapy and amitriptyline,0.93,-0.76,2.52,12,tca
coping skills training + sertraline,1.05,-0.24,2.4,28,ssri
desipramine,0.45,-0.09,1.01,230,tca
desipramine + cognitive behavioural therapy,0.96,0.02,1.89,37,tca
desipramine + lidocaine,0.68,-0.6,1.99,34,tca
desvenlafaxine,0.22,-0.2,0.66,885,snri
dothiepin,-0.01,-1.02,0.99,55,tca
doxepin,-0.9,-2.55,0.68,30,tca
duloxetine,0.18,0.05,0.31,6082,snri
escitalopram,0.41,-0.9,1.75,86,ssri
esreboxetine,0.35,-0.07,0.76,978,snri
fluoxetine,0.14,-0.53,0.81,140,ssri
gabapentin + nortriptyline,-0.91,-3.15,0.8,56,tca
imipramine,0.34,-0.24,0.9,240,tca
maprotiline,0.61,-0.2,1.42,98,teca
melatonin + amitriptyline,0.11,-2.5,2.72,9,tca
mianserin,1.01,0.18,1.83,109,teca
milnacipran,0.29,0.08,0.49,3090,snri
mirtazapine,-0.01,-0.67,0.62,269,nassa
moclobemide,0.12,-0.8,1.03,43,maoi rev
morphine + nortriptyline,-0.18,-1.42,0.99,55,tca
nortriptyline,-0.62,-1.26,0,374,tca
nortriptyline + cognitive behavioural therapy,-0.73,-2.51,0.98,41,tca
nortriptyline + disease management,1.06,-0.34,2.51,37,tca
nortriptyline + morphine,0.34,-1.04,1.67,52,tca
paroxetine,0.52,0.06,0.98,389,ssri
pirlindole,-0.51,-1.48,0.47,45,maoi rev
pregabalin + duloxetine,1.03,-0.5,2.5,41,snri
pregabalin + imipramine,0.88,-0.16,1.85,73,tca
reboxetine,0.99,-0.84,2.88,18,nari
sertraline,-0.34,-1.84,1.04,66,ssri
trazodone,1.37,0.49,2.36,63,sari
trazodone + gabapentin,0.56,-0.47,1.64,94,sari
trimipramine,0.32,-1.36,2.1,18,tca
venlafaxine,0.34,-0.15,0.85,409,snri
zimeldine,0.73,-1.04,2.61,17,ssri
