treatment,logOR,lwrCrI (2.5%),uppCrI (97.5%),n,class
abt-894,-0.28,-1.03,0.47,172,nonad
acetaminophen,0.14,-3.23,2.86,50,nonad
acupuncture,2.04,0.53,3.77,24,nonad
aerobic exercise,1.65,-0.04,3.5,20,nonad
carbamazepine,-0.43,-1.48,0.52,99,nonad
cognitive behavioural therapy,-0.04,-0.53,0.44,333,nonad
coping skills training,0.35,-0.98,1.69,29,nonad
cyclobenzaprine,1.98,1.12,2.88,42,nonad
disease management,0.55,-0.99,2.15,24,nonad
education,0.56,-0.22,1.32,71,nonad
fluphenazine,-0.26,-3.68,2.58,13,nonad
gabapentin,0.58,-0.06,1.22,269,nonad
lamotrigine,-2.47,-5.9,-0.21,53,nonad
lidocaine,0.49,-0.94,1.82,33,nonad
melatonin,0.1,-2.5,2.65,9,nonad
morphine,0.49,-0.45,1.43,107,nonad
naltrexone,-1.02,-3.13,0.72,67,nonad
naproxen,-0.19,-3.49,2.6,19,nonad
neurofeedback,0.44,-2.24,3.13,20,nonad
panax ginseng,0.86,-0.5,2.23,19,nonad
physical therapy,-0.31,-4.25,3.59,34,nonad
pregabalin,0.11,-0.23,0.46,919,nonad
psychotherapy,0.53,-0.31,1.34,116,nonad
saffron/crocin,0.15,-1.36,1.67,53,nonad
support,1.12,-0.48,2.81,24,nonad
tens,-1.88,-3.92,-0.3,50,nonad
terbutaline,0.54,-0.88,1.92,51,nonad
usual treatment,-0.11,-0.99,0.75,70,nonad
waitlist,0.11,-1.78,2.14,24,nonad
