study,trt,class,n,r
abou-raya 2012,placebo,placebo,144,13
abou-raya 2012,duloxetine,snri,144,21
agger 2017,placebo,placebo,68,15
agger 2017,imipramine,tca,70,13
ahmed 2016,placebo,placebo,19,1
ahmed 2016,milnacipran,snri,19,3
alcoff 1982,placebo,placebo,22,2
alcoff 1982,imipramine,tca,28,7
allen 2014,placebo,placebo,90,15
allen 2014,desvenlafaxine,snri,63,12
allen 2014,desvenlafaxine,snri,87,18
allen 2014,desvenlafaxine,snri,99,31
allen 2014,desvenlafaxine,snri,69,27
allen 2017,placebo,placebo,130,84
allen 2017,desvenlafaxine,snri,136,87
allen 2017,desvenlafaxine,snri,140,81
allen 2017,desvenlafaxine,snri,142,100
allen 2017,desvenlafaxine,snri,149,93
anderberg 2000,placebo,placebo,19,1
anderberg 2000,citalopram,ssri,21,4
ang 2013,cognitive behavioural therapy,nonad,19,4
ang 2013,cognitive behavioral therapy and milnacipran,snri,20,3
ang 2013,milnacipran,snri,19,2
aragona 2005,citalopram,ssri,17,6
aragona 2005,reboxetine,nari,18,9
arnold 2002,placebo,placebo,30,12
arnold 2002,fluoxetine,ssri,30,11
arnold 2004,placebo,placebo,103,37
arnold 2004,duloxetine,snri,104,46
arnold 2005,placebo,placebo,121,52
arnold 2005,duloxetine,snri,117,41
arnold 2005,duloxetine,snri,115,45
arnold 2010: 1,placebo,placebo,133,27
arnold 2010: 1,esreboxetine,snri,134,27
arnold 2010: 2,placebo,placebo,509,150
arnold 2010: 2,milnacipran,snri,516,159
arnold 2010: 3,placebo,placebo,267,80
arnold 2010: 3,duloxetine,snri,263,87
arnold 2012: 1,placebo,placebo,110,31
arnold 2012: 1,duloxetine,snri,121,29
arnold 2012: 2,placebo,placebo,278,76
arnold 2012: 2,esreboxetine,snri,277,103
arnold 2012: 2,esreboxetine,snri,284,111
arnold 2012: 2,esreboxetine,snri,283,108
ash 1999,placebo,placebo,25,10
ash 1999,dothiepin,tca,25,10
atkinson 1998,placebo,placebo,40,11
atkinson 1998,nortriptyline,tca,38,10
atkinson 1999,maprotiline,teca,33,13
atkinson 1999,paroxetine,ssri,34,12
atkinson 1999,placebo,placebo,36,4
bansal 2009,amitriptyline,tca,25,3
bansal 2009,pregabalin,nonad,26,4
bateman 2011,milnacipran,snri,86,35
bateman 2011,placebo,placebo,21,10
bird 2000,paroxetine,ssri,95,18
bird 2000,amitriptyline,tca,105,20
boyle 2012,pregabalin,nonad,27,5
boyle 2012,amitriptyline,tca,28,4
boyle 2012,duloxetine,snri,28,1
branco 2010,placebo,placebo,449,79
branco 2010,milnacipran,snri,435,127
braz 2013,placebo,placebo,17,4
braz 2013,amitriptyline,tca,16,3
braz 2013,panax ginseng,nonad,19,7
calderon 2011,placebo,placebo,13,2
calderon 2011,cognitive behavioural therapy,nonad,11,2
calderon 2011,amitriptyline,tca,11,2
calderon 2011,cognitive behavioural therapy and amitriptyline,tca,12,4
cardenas 2002,placebo,placebo,40,3
cardenas 2002,amitriptyline,tca,44,8
carette 1986,placebo,placebo,32,4
carette 1986,amitriptyline,tca,27,7
carette 1994,placebo,placebo,84,14
carette 1994,amitriptyline,tca,82,14
carette 1994,cyclobenzaprine,nonad,42,24
caruso 1987,placebo,placebo,30,4
caruso 1987,dothiepin,tca,30,4
chappell 2008,placebo,placebo,168,65
chappell 2008,duloxetine,snri,162,61
chappell 2009: 1,duloxetine,snri,96,31
chappell 2009: 1,duloxetine,snri,49,38
chappell 2009: 2,placebo,placebo,120,24
chappell 2009: 2,duloxetine,snri,111,34
chappell 2011,placebo,placebo,128,17
chappell 2011,duloxetine,snri,128,35
clauw 2008,placebo,placebo,405,115
clauw 2008,milnacipran,snri,401,137
clauw 2008,milnacipran,snri,401,144
creed 2003,psychotherapy,nonad,44,26
creed 2003,paroxetine,ssri,49,32
creed 2003,usual treatment,nonad,30,11
