study,trt,class,n,r
agger 2017,placebo,placebo,59,10
agger 2017,imipramine low,tca,65,32
ahmed 2016,placebo,placebo,15,5
ahmed 2016,milnacipran standard,snri,15,10
allen 2014,placebo,placebo,90,68
allen 2014,desvenlafaxine standard,snri,63,47
allen 2014,desvenlafaxine high,snri,87,65
allen 2014,desvenlafaxine high,snri,99,82
allen 2014,desvenlafaxine high,snri,69,63
allen 2017,placebo,placebo,130,106
allen 2017,desvenlafaxine standard,snri,136,123
allen 2017,desvenlafaxine high,snri,139,122
allen 2017,desvenlafaxine high,snri,142,122
allen 2017,desvenlafaxine high,snri,149,136
ang 2013,cognitive behavioural therapy ,nonad,19,3
ang 2013,cognitive behavioral therapy and milnacipran standard,snri,20,9
ang 2013,milnacipran standard,snri,19,8
arnold 2004,placebo,placebo,103,77
arnold 2004,duloxetine high,snri,104,94
arnold 2005,placebo,placebo,120,95
arnold 2005,duloxetine standard,snri,118,109
arnold 2005,duloxetine high,snri,116,105
arnold 2010: 1,placebo,placebo,133,76
arnold 2010: 1,esreboxetine unable to be categorised,snri,134,96
arnold 2010: 2,placebo,placebo,509,382
arnold 2010: 2,milnacipran standard,snri,516,434
arnold 2010: 3,placebo,placebo,267,191
arnold 2010: 3,duloxetine high,snri,263,218
arnold 2012: 1,placebo,placebo,153,79
arnold 2012: 1,duloxetine low,snri,155,100
arnold 2012: 2,placebo,placebo,277,85
arnold 2012: 2,esreboxetine standard,snri,274,158
arnold 2012: 2,esreboxetine standard,snri,282,157
arnold 2012: 2,esreboxetine high,snri,107,62
atkinson 1998,placebo,placebo,29,29
atkinson 1998,nortriptyline unable to be categorised,tca,28,28
atkinson 1999,maprotiline low,teca,33,18
atkinson 1999,paroxetine unable to be categorised,ssri,34,20
atkinson 1999,placebo,placebo,36,31
bateman 2011,milnacipran unable to be categorised,snri,85,63
bateman 2011,placebo,placebo,21,16
bird 2000,paroxetine unable to be categorised,ssri,94,53
bird 2000,amitriptyline high,tca,96,65
branco 2010,placebo,placebo,446,331
branco 2010,milnacipran high,snri,431,363
cannon 1994,placebo,placebo,20,11
