study,trt,class,mean,sd,se,n
abou-raya 2012,placebo,placebo,9.7,2.2,,144
abou-raya 2012,duloxetine ,snri,5.2,1.7,,144
aragona 2005,citalopram ,ssri,42.9,12.8,,15
aragona 2005,reboxetine ,nari,38.9,10.7,,14
ash 1999,placebo,placebo,7.94,6.97,,23
ash 1999,dothiepin ,tca,7.05,8.29,,25
boyle 2012,pregabalin ,nonad,52.4,,10,19
boyle 2012,amitriptyline ,tca,51.7,,8,23
boyle 2012,duloxetine ,snri,51,,8.8,23
cardenas 2002,placebo,placebo,11.2,8.6,,40
cardenas 2002,amitriptyline ,tca,12.4,10.9,,44
carette 1994,placebo,placebo,2.57,1.84,,36
carette 1994,amitriptyline ,tca,2.41,1.86,,78
carette 1994,cyclobenzaprine ,nonad,2.2,1.59,,70
dickens 2000,placebo,placebo,23.3,9,,48
dickens 2000,paroxetine ,ssri,23.2,8.3,,44
gilron 2009,gabapentin ,nonad,61.6,,2.6,46
gilron 2009,nortriptyline ,tca,61.7,,2.5,50
gilron 2009,gabapentin + nortriptyline ,tca,64.3,,2.5,50
gilron 2015,morphine ,nonad,2.1,,0.4,51
gilron 2015,nortriptyline ,tca,1.5,,0.4,51
gilron 2015,nortriptyline + morphine ,tca,1.8,,0.4,51
gilron 2016,placebo,placebo,70.3,,2.8,39
gilron 2016,pregabalin ,nonad,76.1,,2.8,39
gilron 2016,duloxetine ,snri,75.8,,2.8,39
gilron 2016,pregabalin + duloxetine ,snri,78.9,,2.9,39
ginsberg 1998,placebo,placebo,156,51,,28
ginsberg 1998,pirlindole ,maoi_rev,153,51,,33
goldenberg 1996,placebo,placebo,9.3,6.5,,19
goldenberg 1996,amitriptyline ,tca,8.7,6,,20
goldenberg 1996,fluoxetine ,ssri,7.8,4.7,,22
goldenberg 1996,amitriptyline + fluoxetine ,tca + ssri,7.4,4.4,,18
goldman 2010,placebo,placebo,10.2,7.7,,59
goldman 2010,amitriptyline ,tca,8.4,6.9,,59
goodkin 1990,placebo,placebo,20.77,16.7,,19
goodkin 1990,trazodone ,sari,28.97,25.05,,21
graff-radford 2000,amitriptyline ,tca,11.1,7.5,,11
graff-radford 2000,amitriptyline + fluphenazine ,tca,7.2,6.03,,12
graff-radford 2000,fluphenazine ,nonad,14.2,6.5,,13
graff-radford 2000,placebo,placebo,14,14.3,,13
hadianfard 2012,acupuncture ,nonad,2.2,2.6,,15
hadianfard 2012,fluoxetine ,ssri,3.6,3.1,,15
hannonen 1998,moclobemide ,maoi_rev,15.4,21.1,,43
hannonen 1998,amitriptyline ,tca,2.9,7.7,,42
hannonen 1998,placebo,placebo,13.2,20.2,,45
hudson 2021,nortriptyline ,tca,51.4,10.9,,102
hudson 2021,placebo,placebo,51.7,10,,103
hussain 2011,melatonin ,nonad,2.17,,0.72,27
hussain 2011,fluoxetine ,ssri,3.64,,0.87,24
hussain 2011,fluoxetine + melatonin ,ssri,3.17,,0.63,27
hussain 2011,fluoxetine + melatonin ,ssri,3,,0.65,23
kayiran 2010,neurofeedback ,nonad,4.78,,0.827,18
kayiran 2010,escitalopram ,ssri,8.22,,0.765,18
keefe 2010,placebo,placebo,4.48,3.74,,28
keefe 2010,sertraline ,ssri,7.05,8.45,,30
keefe 2010,coping skills training ,nonad,7.05,8.45,,29
keefe 2010,coping skills training + sertraline ,ssri,4.48,3.74,,28
khoromi 2007,placebo,placebo,9,8.5,,28
khoromi 2007,morphine ,nonad,9.6,8.5,,28
khoromi 2007,nortriptyline ,tca,7.3,7.1,,28
khoromi 2007,morphine + nortriptyline ,tca,6,5,,28
lee 2010,placebo,placebo,50.3,14.2,,21
lee 2010,venlafaxine ,snri,55.1,19.6,,22
