study,trt,class,mean,sd,se,n
allen 2014,placebo,placebo,-1.83,,0.22,72
allen 2014,desvenlafaxine standard,snri,-2.41,,0.26,49
allen 2014,desvenlafaxine high,snri,-2.42,,0.23,65
allen 2014,desvenlafaxine high,snri,-2.93,,0.22,70
allen 2014,desvenlafaxine high,snri,-2.74,,0.27,40
ang 2013,cognitive behavioural therapy ,nonad,-1.67,,0.45,15
ang 2013,cognitive behavioral therapy and milnacipran standard,snri,-2.15,,0.43,17
ang 2013,milnacipran standard,snri,-0.97,,0.43,17
arnold 2002,placebo,placebo,0.4,2.4,,26
arnold 2002,fluoxetine unable to be categorised,ssri,-1.8,2.4,,25
arnold 2004,placebo,placebo,-0.94,,0.23,102
arnold 2004,duloxetine high,snri,-1.83,,0.24,100
arnold 2005,placebo,placebo,-1.16,,0.21,118
arnold 2005,duloxetine standard,snri,-2.39,,0.22,116
arnold 2005,duloxetine high,snri,-2.4,,0.22,114
arnold 2010: 1,placebo,placebo,-0.99,,0.16,133
arnold 2010: 1,esreboxetine unable to be categorised,snri,-1.55,,0.16,133
arnold 2010: 2,placebo,placebo,-10.76,,1.23,509
arnold 2010: 2,milnacipran standard,snri,-17.7,,1.23,516
arnold 2010: 3,placebo,placebo,-1.5,,0.2,199
arnold 2010: 3,duloxetine high,snri,-2.3,,0.2,188
arnold 2012: 1,placebo,placebo,-1.83,,0.2,153
arnold 2012: 1,duloxetine low,snri,-2.14,,0.2,153
atkinson 1998,placebo,placebo,0.91,3.43,,40
atkinson 1998,nortriptyline unable to be categorised,tca,2.59,4,,38
bateman 2011,milnacipran unable to be categorised,snri,-12.3,,3.07,79
bateman 2011,placebo,placebo,-1.3,,4.91,21
branco 2010,placebo,placebo,-11.97,,1.14,446
branco 2010,milnacipran high,snri,-16.5,,1.18,430
chappell 2008,placebo,placebo,-1.13,,0.19,167
chappell 2008,duloxetine high,snri,-1.62,,0.2,158
chappell 2009: 1,duloxetine standard,snri,-0.37,,0.26,104
